Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
56C,1,64,150,9333.471,2720.114,840.862,582.989,648.939,473.9,White LED,12.5 mA,b'OK Read',9:57:08
56C,1,64,150,17952.292,5136.236,1461.806,944.41,1019.513,703.731,White LED,25 mA,b'OK Read',9:57:09
56C,1,64,150,33392.552,9515.127,2596.508,1604.398,1692.81,1120.682,White LED,50 mA,b'OK Read',9:57:11
56C,1,64,150,39862.643,11275.821,3089.937,1893.535,1964.216,1295.598,White LED,100 mA,b'OK Read',9:57:12
56C,1,64,200,9317.935,2713.524,841.324,583.381,649.809,472.883,White LED,12.5 mA,b'OK Read',9:57:13
56C,1,64,200,17911.659,5129.207,1462.268,942.839,1019.078,703.223,White LED,25 mA,b'OK Read',9:57:14
56C,1,64,200,33295.752,9486.133,2597.432,1604.005,1689.765,1118.14,White LED,50 mA,b'OK Read',9:57:15
56C,1,64,200,39885.349,11282.41,3101.949,1898.642,1965.086,1296.615,White LED,100 mA,b'OK Read',9:57:17
56C,1,64,250,9311.481,2708.516,841.601,583.617,649.287,473.493,White LED,12.5 mA,b'OK Read',9:57:18
56C,1,64,250,17904.488,5124.99,1462.545,944.725,1019.861,702.918,White LED,25 mA,b'OK Read',9:57:19
56C,1,64,250,33244.844,9475.064,2596.878,1603.769,1688.982,1116.614,White LED,50 mA,b'OK Read',9:57:20
56C,1,64,250,39907.578,11292.69,3110.265,1903.592,1970.827,1298.446,White LED,100 mA,b'OK Read',9:57:22
56C,2,64,50,9378.883,2725.385,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:57:26
56C,2,64,50,18026.385,5139.75,1458.11,942.839,1022.993,707.799,White LED,25 mA,b'OK Read',9:57:28
56C,2,64,50,33715.219,9525.67,2594.66,1602.826,1696.289,1128.818,White LED,50 mA,b'OK Read',9:57:29
56C,2,64,50,39853.083,11196.748,3049.28,1871.535,1957.257,1293.564,White LED,100 mA,b'OK Read',9:57:30
56C,2,64,100,9353.787,2720.114,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:57:32
56C,2,64,100,17976.193,5134.479,1463.654,945.196,1022.993,704.749,White LED,25 mA,b'OK Read',9:57:33
56C,2,64,100,33532.375,9509.855,2594.66,1602.826,1693.68,1122.716,White LED,50 mA,b'OK Read',9:57:34
56C,2,64,100,39914.031,11231.013,3077.001,1883.321,1965.086,1293.564,White LED,100 mA,b'OK Read',9:57:35
56C,2,64,150,9328.691,2714.842,844.558,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:57:36
56C,2,64,150,17945.121,5129.207,1461.806,944.41,1021.253,705.765,White LED,25 mA,b'OK Read',9:57:38
56C,2,64,150,33416.455,9485.255,2594.66,1604.398,1694.549,1120.682,White LED,50 mA,b'OK Read',9:57:39
56C,2,64,150,39898.496,11258.249,3088.089,1891.963,1965.956,1297.632,White LED,100 mA,b'OK Read',9:57:40
56C,2,64,200,9317.935,2710.889,844.096,584.56,651.114,474.409,White LED,12.5 mA,b'OK Read',9:57:41
56C,2,64,200,17933.17,5126.571,1460.882,945.196,1020.383,704.749,White LED,25 mA,b'OK Read',9:57:42
56C,2,64,200,33351.323,9475.59,2594.66,1604.005,1691.07,1119.665,White LED,50 mA,b'OK Read',9:57:43
56C,2,64,200,39928.372,11269.231,3097.791,1897.463,1970.305,1298.141,White LED,100 mA,b'OK Read',9:57:44
56C,2,64,250,9300.009,2707.462,843.819,585.503,651.375,474.714,White LED,12.5 mA,b'OK Read',9:57:45
56C,2,64,250,17921.697,5120.773,1462.545,944.725,1020.905,704.138,White LED,25 mA,b'OK Read',9:57:47
56C,2,64,250,33230.5,9463.466,2594.66,1602.826,1687.938,1117.835,White LED,50 mA,b'OK Read',9:57:48
56C,2,64,250,39904.711,11261.06,3106.939,1901.706,1971.871,1297.225,White LED,100 mA,b'OK Read',9:57:49
56C,3,64,50,9364.542,2720.114,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:57:53
56C,3,64,50,18012.044,5123.935,1458.11,942.839,1022.993,707.799,White LED,25 mA,b'OK Read',9:57:54
56C,3,64,50,33686.541,9494.04,2594.66,1602.826,1696.289,1122.716,White LED,50 mA,b'OK Read',9:57:55
56C,3,64,50,39831.573,11170.391,3054.824,1871.535,1957.257,1293.564,White LED,100 mA,b'OK Read',9:57:56
56C,3,64,100,9339.446,2712.206,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:57:57
56C,3,64,100,17976.193,5113.392,1463.654,945.196,1022.993,704.749,White LED,25 mA,b'OK Read',9:57:59
56C,3,64,100,33446.33,9472.955,2594.66,1602.826,1693.68,1122.716,White LED,50 mA,b'OK Read',9:58:00
56C,3,64,100,39888.935,11207.291,3077.001,1883.321,1962.476,1296.615,White LED,100 mA,b'OK Read',9:58:01
56C,3,64,150,9323.91,2706.057,844.558,586.132,652.419,475.934,White LED,12.5 mA,b'OK Read',9:58:02
56C,3,64,150,17937.951,5111.635,1463.654,945.982,1021.253,705.765,White LED,25 mA,b'OK Read',9:58:03
56C,3,64,150,33390.163,9460.654,2594.66,1602.826,1691.07,1120.682,White LED,50 mA,b'OK Read',9:58:04
56C,3,64,150,39910.446,11230.134,3091.785,1891.963,1964.216,1295.598,White LED,100 mA,b'OK Read',9:58:05
56C,3,64,200,9319.727,2704.299,844.096,585.739,651.114,475.934,White LED,12.5 mA,b'OK Read',9:58:07
56C,3,64,200,17936.755,5108.121,1463.654,945.196,1021.688,704.749,White LED,25 mA,b'OK Read',9:58:08
56C,3,64,200,33335.19,9443.961,2596.046,1602.826,1692.375,1118.14,White LED,50 mA,b'OK Read',9:58:09
56C,3,64,200,39924.788,11238.92,3101.949,1897.463,1967.696,1298.141,White LED,100 mA,b'OK Read',9:58:10
56C,3,64,250,9318.652,2701.136,843.819,585.503,651.375,475.934,White LED,12.5 mA,b'OK Read',9:58:11
56C,3,64,250,17946.078,5104.958,1464.763,944.725,1020.905,705.359,White LED,25 mA,b'OK Read',9:58:12
56C,3,64,250,33264.918,9436.054,2592.442,1602.826,1687.938,1116.614,White LED,50 mA,b'OK Read',9:58:14
56C,3,64,250,39906.145,11251.571,3103.613,1900.763,1969.783,1298.446,White LED,100 mA,b'OK Read',9:58:16
56C,4,64,50,9371.712,2720.114,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:58:20
56C,4,64,50,18019.215,5118.664,1463.655,942.839,1022.993,707.799,White LED,25 mA,b'OK Read',9:58:21
56C,4,64,50,33700.879,9488.77,2600.204,1602.826,1696.289,1128.818,White LED,50 mA,b'OK Read',9:58:22
56C,4,64,50,39810.061,11159.847,3054.824,1871.535,1957.257,1293.564,White LED,100 mA,b'OK Read',9:58:23
56C,4,64,100,9346.616,2709.571,842.71,584.56,652.419,475.934,White LED,12.5 mA,b'OK Read',9:58:24
56C,4,64,100,17986.948,5108.121,1463.654,945.196,1022.993,704.749,White LED,25 mA,b'OK Read',9:58:25
56C,4,64,100,33489.353,9459.776,2591.888,1602.826,1693.68,1122.716,White LED,50 mA,b'OK Read',9:58:26
56C,4,64,100,39935.542,11186.205,3079.773,1883.321,1962.476,1293.564,White LED,100 mA,b'OK Read',9:58:28
