Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12C,2,64,50,12261.896,8921.805,21448.548,23071.008,33317.246,17514.444,White LED,50 mA,b'OK Read',09:54:18
12C,2,64,50,15861.772,11382.152,27599.707,29700.774,42884.331,22397.4,White LED,100 mA,b'OK Read',09:54:19
12C,2,64,100,3453.062,2457.302,5807.64,6280.204,9434.931,5421.683,White LED,12.5 mA,b'OK Read',09:54:20
12C,2,64,100,6647.733,4734.951,11330.802,12217.981,17958.934,9756.738,White LED,25 mA,b'OK Read',09:54:21
12C,2,64,100,12414.583,8857.86,21330.461,22954.49,33272.407,17516.737,White LED,50 mA,b'OK Read',09:54:22
12C,2,64,100,15973.351,11366.927,27591.655,29669.861,42834.771,22356.135,White LED,100 mA,b'OK Read',09:54:23
12C,2,64,150,3458.935,2448.168,5795.116,6265.143,9423.918,5414.806,White LED,12.5 mA,b'OK Read',09:54:24
12C,2,64,150,6581.177,4721.756,11311.121,12195.786,17916.457,9732.285,White LED,25 mA,b'OK Read',09:54:25
12C,2,64,150,12393.049,8826.396,21255.317,22872.845,33153.626,17456.369,White LED,50 mA,b'OK Read',09:54:27
12C,2,64,150,16016.416,11361.853,27571.081,29657.969,42802.52,22351.55,White LED,100 mA,b'OK Read',09:54:28
12C,2,64,200,3448.658,2442.078,5788.853,6263.558,9417.231,5415.952,White LED,12.5 mA,b'OK Read',09:54:29
12C,2,64,200,6669.755,4721.249,11295.913,12188.256,17934.155,9753.299,White LED,25 mA,b'OK Read',09:54:30
12C,2,64,200,12489.457,8812.186,21181.514,22824.89,33182.73,17512.152,White LED,50 mA,b'OK Read',09:54:31
12C,2,64,200,16156.868,11359.315,27517.854,29637.756,42889.053,22446.687,White LED,100 mA,b'OK Read',09:54:33
12C,2,64,250,3476.553,2438.424,5780.802,6260.704,9439.65,5435.897,White LED,12.5 mA,b'OK Read',09:54:34
12C,2,64,250,6684.143,4717.29,11281.421,12185.64,17973.094,9792.5,White LED,25 mA,b'OK Read',09:54:36
12C,2,64,250,12494.449,8793.916,21142.6,22785.654,33123.734,17497.021,White LED,50 mA,b'OK Read',09:54:38
12C,2,64,250,16201.206,11350.484,27499.871,29623.729,42900.379,22470.758,White LED,100 mA,b'OK Read',09:54:40
12C,3,64,50,3482.425,2448.168,5845.212,6315.873,9434.931,5295.598,White LED,12.5 mA,b'OK Read',09:54:43
12C,3,64,50,6665.35,4731.906,11400.58,12289.319,18081.65,9830.097,White LED,25 mA,b'OK Read',09:54:44
12C,3,64,50,12537.906,8854.815,21512.957,23166.128,33680.671,17739.107,White LED,50 mA,b'OK Read',09:54:45
12C,3,64,50,16126.038,11351.703,27755.366,29862.475,43233.598,22576.211,White LED,100 mA,b'OK Read',09:54:46
12C,3,64,100,3491.234,2445.123,5831.793,6306.361,9503.368,5472.118,White LED,12.5 mA,b'OK Read',09:54:47
12C,3,64,100,6709.394,4716.681,11376.426,12267.917,18084.01,9836.975,White LED,25 mA,b'OK Read',09:54:48
12C,3,64,100,12511.479,8812.186,21416.343,23037.717,33508.398,17642.823,White LED,50 mA,b'OK Read',09:54:49
12C,3,64,100,16087.865,11324.298,27720.476,29791.135,43125.044,22507.436,White LED,100 mA,b'OK Read',09:54:50
